User ID,Display Name,Team Name,Wins,Losses,Ties,Points For,Points Against,Adjusted Average,TREND,Trend Percentage,QB Strength,RB Strength,WR Strength,TE Strength,K Strength,QB,RB,WR,TE,K,DEF,TOP_PERFORMERS,BOTTOM_PERFORMERS,BENCHWARMER,LAST_WEEK_OPPONENT,LAST_WEEK_RESULT,THIS_WEEK_OPPONENT,THIS_WEEK_WIN_PROB,POWER RANK,Power Rank Score,COMMENTS,Week 1 (Vorsaison),Week 2 (Vorsaison),Week 3 (Vorsaison),Week 4 (Vorsaison),Week 5 (Vorsaison),Week 6 (Vorsaison),Week 7 (Vorsaison),Week 8 (Vorsaison),Week 9 (Vorsaison),Week 10 (Vorsaison),Week 11 (Vorsaison),Week 12 (Vorsaison),DISPLAY_WEEK_LABEL
716284640708587520,Shpooople,The ImBortles,15,13,0,1810,1859,133.1,NO TREND,6.3,72,84,89,30,85,"Blake Bortles, Jacoby Brissett, Brock Purdy","Omarion Hampton, TreVeyon Henderson, Kyle Monangai, Derrick Henry, Rico Dowdle","DJ Moore, Darnell Mooney, Drake London, George Pickens",Brenton Strange,Cameron Dicker,New Orleans Saints,"[{'name': 'Kyle Monangai', 'position': 'RB', 'points': 20.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/12534.jpg'}, {'name': 'Derrick Henry', 'position': 'RB', 'points': 17.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/3198.jpg'}, {'name': 'Caleb Williams', 'position': 'QB', 'points': 14.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/11560.jpg'}]","[{'name': 'DJ Moore', 'position': 'WR', 'points': 4.5, 'image_url': 'https://sleepercdn.com/content/nfl/players/4983.jpg'}, {'name': 'Mark Andrews', 'position': 'TE', 'points': 7.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/5012.jpg'}, {'name': 'Cameron Dicker', 'position': 'K', 'points': 9.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/8259.jpg'}]","{'name': 'Brock Purdy', 'position': 'QB', 'points': 20.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/8183.jpg'}",Always sunny´n Scarycity,"{'own_points': 120.8, 'opponent_points': 101.9, 'outcome': 'Sieg'}",Addison Rae,39.3,2,3.5,TESTESTEST,164.47,123.49,97.41,152.32,140.07,150.56,105.54,143.11,150.19,96.38,109.04,124.55,Vorsaison
718519453150679040,Sternburg1000,Always sunny´n Scarycity,11,17,0,1646,1648,115.9,DOWN,-9.7,79,63,81,45,100,Bo Nix,"Chris Rodriguez, Tony Pollard, Devin Singletary, Kyren Williams","Michael Wilson, Terry McLaurin, Jerry Jeudy, Amon-Ra St. Brown, Zay Flowers","Darren Waller, George Kittle",Jason Myers,"Buffalo Bills, Los Angeles Rams","[{'name': 'Terry McLaurin', 'position': 'WR', 'points': 20.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/5927.jpg'}, {'name': 'Jason Myers', 'position': 'K', 'points': 20.3, 'image_url': 'https://sleepercdn.com/content/nfl/players/2747.jpg'}, {'name': 'Bo Nix', 'position': 'QB', 'points': 20.3, 'image_url': 'https://sleepercdn.com/content/nfl/players/11563.jpg'}]","[{'name': 'Zay Flowers', 'position': 'WR', 'points': -0.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/9997.jpg'}, {'name': 'Amon-Ra St. Brown', 'position': 'WR', 'points': 0.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/7547.jpg'}, {'name': 'Los Angeles Rams', 'position': 'DEF', 'points': 1.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/LAR.jpg'}]","{'name': 'Devin Singletary', 'position': 'RB', 'points': 18.7, 'image_url': 'https://sleepercdn.com/content/nfl/players/6130.jpg'}",The ImBortles,"{'own_points': 101.9, 'opponent_points': 120.8, 'outcome': 'Niederlage'}",Alvin had a little Lamb,39.9,11,10.02,TESTESTETS,98.81,127.92,144.96,93.09,129.58,94.17,57.36,128.48,134.44,103.14,127.44,105.01,Vorsaison
718524962947801088,Schleckeracci,The Founding Fathers ,9,19,0,1632,1742,117.4,NO TREND,-6.5,85,71,59,100,76,"Matthew Stafford, Lamar Jackson","Tyrone Tracy, Woody Marks, RJ Harvey, Joe Mixon, Kenneth Walker, Jaylen Warren","Tre Tucker, Kyle Williams, Justin Jefferson, Romeo Doubs",Trey McBride,Chase McLaughlin,"Cleveland Browns, Jacksonville Jaguars","[{'name': 'RJ Harvey', 'position': 'RB', 'points': 20.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/12489.jpg'}, {'name': 'Jacksonville Jaguars', 'position': 'DEF', 'points': 19.5, 'image_url': 'https://sleepercdn.com/content/nfl/players/JAX.jpg'}, {'name': 'Trey McBride', 'position': 'TE', 'points': 18.7, 'image_url': 'https://sleepercdn.com/content/nfl/players/8130.jpg'}]","[{'name': 'Justin Jefferson', 'position': 'WR', 'points': 1.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/6794.jpg'}, {'name': 'Woody Marks', 'position': 'RB', 'points': 7.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/12474.jpg'}, {'name': 'Romeo Doubs', 'position': 'WR', 'points': 9.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/8121.jpg'}]","{'name': 'Lamar Jackson', 'position': 'QB', 'points': 9.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/4881.jpg'}",TetaTet with a Mustardson,"{'own_points': 127.6, 'opponent_points': 133.3, 'outcome': 'Niederlage'}",sandmann1ps,30.5,10,9.82,"Man würde meinen, dass die Founding Fathers nach einer 2-Punkte-Woche einen deutlichen Sprung nach oben in den Powerrankings machen müssten. Immerhin haben sie ihre Gesamtpunktzahl um ein Drittel erhöht.
Und jeder weiß, dass man in der THF nicht leicht an die heiß begehrten Doppelpunkte kommt. Aber das Powerranking-System sagt: „Ab nach unten mit euch.“
Wie kommt’s?
Die Pioniere des Co-Managements haben in den letzten drei Wochen einen Schnitt von 106 Punkten. Das ist einfach zu wenig, auch wenn das in Woche 11 noch für zwei Punkte gesorgt hat.
Und dabei gibt es fantastische Performances von den Onesie-Positionen. QB, TE und K-Production sind jeweils Top-3, wenn nicht sogar besser. Hilft anscheinend nicht, wenn die RBs und WRs nicht mitspielen.
Um die Playoffs zu erreichen, müssen sehr viele Würfel richtig fallen, es ist aber noch nicht vorbei.
Der Deadline-Trade mit Mo gibt mir nochmal Hoffnung, aber ich befürchte, die Boys hätten früher Moves machen müssen und ihre Underperformer mit Big-Name-Value traden sollen.",138.13,117.36,123.37,97.95,121.49,146.6,129.82,119.67,116.65,118.45,99.68,102.67,Vorsaison
718516055202418688,kobekope,Alvin had a little Lamb,11,17,0,1685,1756,121.3,DOWN,-12.7,88,69,81,69,69,"Drake Maye, Dak Prescott","Alvin Kamara, Aaron Jones, James Cook","Courtland Sutton, Deebo Samuel, CeeDee Lamb, Rashid Shaheed, Josh Downs","Theo Johnson, Taysom Hill, Jake Ferguson",Cam Little,San Francisco 49ers,"[{'name': 'Dak Prescott', 'position': 'QB', 'points': 26.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/3294.jpg'}, {'name': 'CeeDee Lamb', 'position': 'WR', 'points': 21.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/6786.jpg'}, {'name': 'James Cook', 'position': 'RB', 'points': 18.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/8138.jpg'}]","[{'name': 'Aaron Jones', 'position': 'RB', 'points': 2.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/4199.jpg'}, {'name': 'Baltimore Ravens', 'position': 'DEF', 'points': 3.5, 'image_url': 'https://sleepercdn.com/content/nfl/players/BAL.jpg'}, {'name': 'Josh Downs', 'position': 'WR', 'points': 5.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/9500.jpg'}]","{'name': 'Drake Maye', 'position': 'QB', 'points': 26.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/11564.jpg'}",Addison Rae,"{'own_points': 114.8, 'opponent_points': 139.2, 'outcome': 'Niederlage'}",Always sunny´n Scarycity,60.1,9,8.82,"Nach drei Wochen hat er mal wieder die 120er Schallmauer durchbrochen. Herzlichen Glückwunsch. In einer Fantasywoche für die Geschichtsbücher hat eine 122 für das Matchup und den Median LOCKER gereicht.
Bei genauer Betrachtung des Rosters ist mir aufgefallen, dass Köppi quasi die bessere Version der FF Fathers hat. Super Onesies QB, TE und K, aber das Fundament, die Basis, scheint nicht ganz zu stimmen. Alvin Kamara denkt schon an die Piña Coladas in Cabo und Shaheed macht im Pacific North West noch Akklimatisierungsversuche.
Aber wir alle wissen, dass in Woche 12 gegen Michi wieder mindestens 130 Punkte drin sind.",141.83,188.54,102.83,92.93,121.25,134.61,122.65,137.58,119.21,122.44,194.12,150.3,Vorsaison
718795712124510208,pk123,No Team Name,16,12,0,1710,1628,119.1,DOWN,-20.2,71,66,95,58,72,Jordan Love,"Dylan Sampson, Josh Jacobs, Tyler Allgeier, Sean Tucker","Marvin Harrison, Keenan Allen, Chris Godwin, Darius Slayton, Nico Collins, Puka Nacua","Harold Fannin, Hunter Henry",Tyler Loop,Miami Dolphins,"[{'name': 'Nico Collins', 'position': 'WR', 'points': 20.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/7569.jpg'}, {'name': 'Zach Ertz', 'position': 'TE', 'points': 17.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/1339.jpg'}, {'name': 'Miami Dolphins', 'position': 'DEF', 'points': 11.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/MIA.jpg'}]","[{'name': 'Sean Tucker', 'position': 'RB', 'points': 0.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/9506.jpg'}, {'name': 'Tyler Loop', 'position': 'K', 'points': 2.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/12711.jpg'}, {'name': 'Sam Darnold', 'position': 'QB', 'points': 2.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/4943.jpg'}]","{'name': 'Tyler Allgeier', 'position': 'RB', 'points': 13.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/8132.jpg'}",sandmann1ps,"{'own_points': 91.7, 'opponent_points': 125.3, 'outcome': 'Niederlage'}",TetaTet with a Mustardson,58.8,8,8.55,"Philipp hat in unserem All-Time-Ranking die meisten Punkte und dann in den Playoffs immer Pech. Dieses Jahr steht er ganz gut in der Liga da, aber hauptsächlich weil er die wenigsten Points Against hat. Muss ein komisches Gefühl sein.
Sein Team ist wahnsinnig inkonsistent, mit vier Performances von 105 Punkten oder sogar deutlich weniger. Verletzungen spielen da auch eine große Rolle, zuletzt hat der Blinddarm von MHJ den Geist aufgegeben.
pk123, legendärer Teamname, wird das nicht stören, solange er in die Playoffs kommt. Wer mit 90 Punkten sein Matchup gewinnt, hat Fortuna definitiv auf seiner Seite.",122.15,125.24,118.96,111.15,116.76,142.32,166.5,116.19,111.17,105.39,184.74,120.57,Vorsaison
722748718910083072,TinyDancerTiez,It's Swiftney bitch,9,19,0,1613,1883,117.1,DOWN,-15.3,77,74,80,45,67,"Jared Goff, Baker Mayfield","Raheim Sanders, Devin Neal, Jacory Croskey-Merritt, D'Andre Swift, Michael Carter, Breece Hall, Isiah Pacheco, Tyjae Spears","Emeka Egbuka, Michael Pittman, Garrett Wilson, Quentin Johnston",Colston Loveland,Jake Bates,Seattle Seahawks,"[{'name': 'Seattle Seahawks', 'position': 'DEF', 'points': 34.5, 'image_url': 'https://sleepercdn.com/content/nfl/players/SEA.jpg'}, {'name': ""D'Andre Swift"", 'position': 'RB', 'points': 21.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/6790.jpg'}, {'name': 'Baker Mayfield', 'position': 'QB', 'points': 16.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/4892.jpg'}]","[{'name': 'Younghoe Koo', 'position': 'K', 'points': 1.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/4666.jpg'}, {'name': 'Michael Pittman', 'position': 'WR', 'points': 2.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/6819.jpg'}, {'name': 'Colston Loveland', 'position': 'TE', 'points': 4.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/12517.jpg'}]","{'name': 'Jared Goff', 'position': 'QB', 'points': 25.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/3163.jpg'}",Chase me if you can,"{'own_points': 121.6, 'opponent_points': 126.5, 'outcome': 'Niederlage'}",Pandan Buns,42.6,12,10.38,"Das Rennen um die „Football-in-die-Leisten-Trophy“ wird nochmal richtig spannend. In einem Blowout-100-Point-Swing ist Tine auf 8 Punkte rangekommen. Jetzt hält sie mit 66 Punkten den Negativrekord im Jahr 2025.
Nachdem die 2024 THF-Gewinnerin dem Injury Death entkommen schien, als sie Nabers getradet hatte, kam der zurück und hat sich seine Rache mit Zinsen geholt. Final Destination Style.
You can’t outrun the Injury Death.
Skattebo, Wilson, zeitweise Egbuka, Pacheco und um ehrlich zu sein Chuba auch.
Die Liste der Verluste ist lang und Tine spielt ab sofort einfach ihre Short Kings, auch wenn die vielleicht nicht die beste Option sind.
Godspeed, little ones.",88.92,115.85,123.46,191.05,160.15,132.55,103.55,122.07,158.88,98.89,100.98,166.37,Vorsaison
723145047784116224,oppossumfrank,Pandan Buns,17,11,0,1848,1652,134.7,NO TREND,1.8,89,100,77,69,86,Jalen Hurts,"Blake Corum, Ashton Jeanty, Jonathan Taylor, Jordan Mason","Rome Odunze, Luther Burden, Mike Evans, Jauan Jennings, Wan'Dale Robinson, Jameson Williams","Dalton Kincaid, Colby Parkinson",Eddy Pineiro,"Detroit Lions, Tampa Bay Buccaneers","[{'name': 'Jameson Williams', 'position': 'WR', 'points': 24.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/8148.jpg'}, {'name': 'Jalen Hurts', 'position': 'QB', 'points': 22.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/6904.jpg'}, {'name': 'Jonathan Taylor', 'position': 'RB', 'points': 15.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/6813.jpg'}]","[{'name': 'Chris Boswell', 'position': 'K', 'points': 1.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/1945.jpg'}, {'name': 'Rome Odunze', 'position': 'WR', 'points': 2.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/11620.jpg'}, {'name': ""Wan'Dale Robinson"", 'position': 'WR', 'points': 6.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/8126.jpg'}]","{'name': 'Blake Corum', 'position': 'RB', 'points': 15.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/11586.jpg'}",Waddle in the Huddle,"{'own_points': 109.0, 'opponent_points': 123.4, 'outcome': 'Niederlage'}",It's Swiftney bitch,57.4,3,3.78,"Kein Jonathan Taylor, kein Proble… oh Shit. 77 Punkte. Das macht JT doch sonst alleine.
Es war keine gute Woche für Leos Team. Fehlt es etwa an Depth? Naja, jetzt ist der erste RB-MVP der NFL seit AP wieder da. Aber kann JT seine fantastische Fantasy-Performance für den Rest der Season beibehalten?
Die Schedule der Colts scheint wohl deutlich schwerer zu werden.
Bei uns in der THF sieht die Sleeper-Projection Leo definitiv als großen Favoriten im Spitzenduell gegen Svens Wackeltruppe.",121.96,145.0,78.41,118.13,125.04,127.27,127.59,110.01,160.04,139.92,137.84,111.62,Vorsaison
1127992026114461696,benjyalf,Addison Rae,15,13,0,1778,1767,127.6,NO TREND,3.0,100,96,77,74,67,Josh Allen,"Kimani Vidal, Quinshon Judkins, Christian McCaffrey, Kenny Gainwell","Troy Franklin, Chimere Dike, A.J. Brown, Alec Pierce, Parker Washington, Kayshon Boutte, Jordan Addison","Travis Kelce, Juwan Johnson",Harrison Butker,Los Angeles Chargers,"[{'name': 'A.J. Brown', 'position': 'WR', 'points': 31.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/5859.jpg'}, {'name': 'Kimani Vidal', 'position': 'RB', 'points': 21.4, 'image_url': 'https://sleepercdn.com/content/nfl/players/11647.jpg'}, {'name': 'Josh Allen', 'position': 'QB', 'points': 21.3, 'image_url': 'https://sleepercdn.com/content/nfl/players/4984.jpg'}]","[{'name': 'Atlanta Falcons', 'position': 'DEF', 'points': 3.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/ATL.jpg'}, {'name': 'Harrison Butker', 'position': 'K', 'points': 4.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/4227.jpg'}, {'name': 'DK Metcalf', 'position': 'WR', 'points': 5.2, 'image_url': 'https://sleepercdn.com/content/nfl/players/5846.jpg'}]","{'name': 'Alec Pierce', 'position': 'WR', 'points': 16.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/8142.jpg'}",Alvin had a little Lamb,"{'own_points': 139.2, 'opponent_points': 114.8, 'outcome': 'Sieg'}",The ImBortles,60.7,5,4.75,"80 Punkte von zwei Spielern. Josh Allen mit 50 und CMC mit 30. Absolute Frechheit. Damit hätte Ben gegen Tine oder gegen Leo in Woche 11 gewonnen. Nimmt man Kelce mit seinen 20 noch dazu, hätte es auch für Peter, Sven und Philipp gereicht.
Dabei hatte Ben auch noch 27 von Gainwell und 17 von Santos auf der Bank. Fantastische Woche für unseren Sophomore-Youngster. Kann er daran anknüpfen?
Josh hat dazu am Donnerstag schon mal ganz klar „NEIN“ gesagt.",127.12,103.42,124.69,98.12,118.81,105.91,140.06,139.99,137.8,135.38,134.19,131.06,Vorsaison
723153820145758208,MomentumBln,TetaTet with a Mustardson,14,14,0,1747,1876,126.4,NO TREND,1.2,81,91,69,71,97,"Justin Herbert, Trevor Lawrence","Rhamondre Stevenson, Chase Brown, Bijan Robinson, Zach Charbonnet","Xavier Worthy, Brian Thomas, Tetairoa McMillan, Stefon Diggs, Christian Watson",Tyler Warren,Ka'imi Fairbairn,"Atlanta Falcons, Pittsburgh Steelers","[{'name': 'Bijan Robinson', 'position': 'RB', 'points': 30.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/9509.jpg'}, {'name': 'Justin Herbert', 'position': 'QB', 'points': 18.7, 'image_url': 'https://sleepercdn.com/content/nfl/players/6797.jpg'}, {'name': 'Christian Watson', 'position': 'WR', 'points': 17.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/8167.jpg'}]","[{'name': 'Brian Thomas', 'position': 'WR', 'points': 4.3, 'image_url': 'https://sleepercdn.com/content/nfl/players/11631.jpg'}, {'name': 'Stefon Diggs', 'position': 'WR', 'points': 4.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/2449.jpg'}, {'name': 'Tyler Warren', 'position': 'TE', 'points': 8.7, 'image_url': 'https://sleepercdn.com/content/nfl/players/12518.jpg'}]","{'name': 'Zach Charbonnet', 'position': 'RB', 'points': 11.9, 'image_url': 'https://sleepercdn.com/content/nfl/players/9753.jpg'}",The Founding Fathers ,"{'own_points': 133.3, 'opponent_points': 127.6, 'outcome': 'Sieg'}",pk123,41.2,7,6.6,"Da macht man mal 137 Punkte, die drittmeisten in der Woche, und man bekommt keinen Punkt. Halt doch – der Median. Was für eine Erleichterung. Doch nicht so kacke, oder Mo?
Bei Mo haben eigentlich nur 5 Spieler Punkte gemacht, den Rest hätte man auch auf 0 abrunden können. Wenn der QB 5 Punkte macht, hat man eigentlich schon verloren… außer man hat T-Mac und den Senfmann.
(60 Points combined)
Es sieht so aus, als würden B. Young und T-Mac jetzt richtig durchstarten. Vielleicht sollte Mo die beiden stacken in Justins BYE-Week.
Mo hätte schon längst aus gutem Grund aufgeben können, aber sein Team ist immer noch stark genug, um in die Playoffs zu kommen.
Vielleicht brauchen wir noch eine Trophy für den most resilient Manager (Arbeitstitel). Ein Voting-basierter Award für den besten Manager, der aus Scheiße Gold macht. Sowas wie Coach of the Year in der NFL.",133.34,102.24,144.98,154.08,123.79,98.85,119.08,178.7,110.83,93.34,125.77,102.96,Vorsaison
723213691029368832,jay88,Waddle in the Huddle,17,11,0,1775,1691,127.0,NO TREND,2.9,83,93,71,85,79,"Jaxson Dart, Daniel Jones","Audric Estime, Kareem Hunt, Saquon Barkley, Zonovan Knight, De'Von Achane","Jalen Coker, Jayden Higgins, Jakobi Meyers, DeVonta Smith, Jaylen Waddle","Brock Bowers, Oronde Gadsden",Evan McPherson,"Houston Texans, Philadelphia Eagles","[{'name': 'Brock Bowers', 'position': 'TE', 'points': 20.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/11604.jpg'}, {'name': ""De'Von Achane"", 'position': 'RB', 'points': 20.6, 'image_url': 'https://sleepercdn.com/content/nfl/players/9226.jpg'}, {'name': 'Jakobi Meyers', 'position': 'WR', 'points': 19.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/5947.jpg'}]","[{'name': 'Philadelphia Eagles', 'position': 'DEF', 'points': 4.0, 'image_url': 'https://sleepercdn.com/content/nfl/players/PHI.jpg'}, {'name': 'Saquon Barkley', 'position': 'RB', 'points': 5.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/4866.jpg'}, {'name': 'Jake Bates', 'position': 'K', 'points': 6.1, 'image_url': 'https://sleepercdn.com/content/nfl/players/11539.jpg'}]","{'name': 'Daniel Jones', 'position': 'QB', 'points': 19.8, 'image_url': 'https://sleepercdn.com/content/nfl/players/5870.jpg'}",Pandan Buns,"{'own_points': 123.4, 'opponent_points': 109.0, 'outcome': 'Sieg'}",Chase me if you can,40.6,6,4.92,"Nach einer der besten Drei-Spiele-Serien aus Woche 8, 9 und 10 mit 154 Punkten im Schnitt, kam Jays Team crashing down to Earth. Es wirkt aber wie eine Ausnahme, denn am Donnerstag haben die Texans schon 8 Sacks ausgepackt.
Jay ist back on track, würde man meinen. Aber ohne Waddle und Achane könnte es trotzdem eine sehr schwierige Woche werden. Zum Glück spielt er gegen Tines Team, da sollte eigentlich nichts anbrennen. (Definitiv kein Jinx-Versuch)",73.86,110.25,123.3,139.05,134.04,114.63,63.19,111.66,136.39,90.03,138.07,136.68,Vorsaison
