User ID,Display Name,Team Name,Wins,Losses,Ties,Points For,Points Against,Adjusted Average,TREND,Trend Percentage,QB Strength,RB Strength,WR Strength,TE Strength,K Strength,QB,RB,WR,TE,K,DEF,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,POWER RANK,Power Rank Score,COMMENTS
716284640708587520,Shpooople,Dobbins is free!,9,3,0,828,743,141.6,UP,8.1,88,72,100,79,83,Jayden Daniels,"Roschon Johnson, Kimani Vidal, Kareem Hunt, David Montgomery, J.K. Dobbins, Isiah Pacheco","Jayden Reed, Mike Evans, Calvin Ridley, Terry McLaurin, Justin Jefferson, Darnell Mooney","T.J. Hockenson, Cole Kmet",Austin Seibert,Pittsburgh Steelers,164.47,123.49,97.41,152.32,140.07,150.56,1,2.5,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. 
Aber eigentlich wollte ich mich in noch besseres Licht ruecken. 
Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
718519453150679040,Sternburg1000,Apukalipse Now!,6,6,0,688,701,112.6,NO TREND,-3.7,49,54,57,63,100,Patrick Mahomes,"Tyrone Tracy, Jonathan Taylor, Clyde Edwards-Helaire, James Cook","DeAndre Hopkins, JuJu Smith-Schuster, Tee Higgins, Jaylen Waddle, Puka Nacua, Zay Flowers","Jake Ferguson, Isaiah Likely","Brandon Aubrey, Joshua Karty",New York Jets,98.81,127.92,144.96,93.09,129.58,94.17,9,7.7,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
718524962947801088,Schleckeracci,Brijaleon Daltallen Jr.,6,6,0,744,815,125.1,UP,12.5,80,82,87,51,73,"Caleb Williams, Josh Allen","Braelon Allen, Najee Harris, Brian Robinson, Bijan Robinson","Chris Godwin, DK Metcalf, Brandon Aiyuk, Wan'Dale Robinson","Dalton Kincaid, Dalton Schultz",Chase McLaughlin,"Green Bay Packers, Indianapolis Colts",138.13,117.36,123.37,97.95,121.49,146.6,4,5.45,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
718516055202418688,kobekope,Kamara Hallis,5,7,0,781,696,125.1,NO TREND,-2.7,70,81,53,100,89,Kyler Murray,"Alvin Kamara, Breece Hall, Jaylen Warren, Ty Chandler","Michael Wilson, Keenan Allen, Davante Adams, Cooper Kupp, Mike Williams, Jerry Jeudy, Khalil Shakir",George Kittle,Ka'imi Fairbairn,Los Angeles Rams,141.83,188.54,102.83,92.93,121.25,134.61,7,7.05,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
718795712124510208,pk123,No Team Name,6,6,0,736,769,120.8,UP,8.5,58,70,79,87,51,"Sam Darnold, Jordan Love","Bucky Irving, Raheem Mostert, Joe Mixon, Jahmyr Gibbs","Marvin Harrison, Stefon Diggs, Hollywood Brown, Jakobi Meyers, George Pickens, Rashid Shaheed, Dontayvion Wicks",Brock Bowers,Cameron Dicker,Cincinnati Bengals,122.15,125.24,118.96,111.15,116.76,142.32,5,6.3,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
722748718910083072,TinyDancerTiez,Gimme Moore,7,5,0,811,753,133.0,UP,12.7,91,100,98,64,86,Baker Mayfield,"Ray Davis, Derrick Henry, Nick Chubb, Zack Moss, Chuba Hubbard","Xavier Legette, DJ Moore, Courtland Sutton, Allen Lazard, Nico Collins, Garrett Wilson, Christian Watson",Trey McBride,Younghoe Koo,"New Orleans Saints, San Francisco 49ers",88.92,115.85,123.46,191.05,160.15,132.55,2,2.8,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
723145047784116224,oppossumfrank,Mango Mochi,8,4,0,715,677,123.1,UP,8.9,82,71,76,67,59,Joe Burrow,"James Conner, Rico Dowdle, Kenneth Walker, Chase Brown, Sean Tucker","Diontae Johnson, DeVonta Smith, Amon-Ra St. Brown, Chris Olave, Jordan Addison","Dallas Goedert, Tucker Kraft",Harrison Butker,Denver Broncos,121.96,145.0,78.41,118.13,125.04,127.27,3,3.8,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
1127992026114461696,benjyalf,Yurr Kirk,6,6,0,678,657,113.2,NO TREND,-0.9,71,67,53,49,56,"Geno Smith, Jalen Hurts","Jaleel McLaughlin, Saquon Barkley, Devin Singletary, Rachaad White","Brian Thomas, Christian Kirk, A.J. Brown, Tank Dell, Quentin Johnston","Hunter Henry, David Njoku",Cairo Santos,Philadelphia Eagles,127.12,103.42,124.69,98.12,118.81,105.91,8,7.2,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
723153820145758208,MomentumBln,Nabers Know My Name,6,6,0,757,752,126.1,DOWN,-16.7,56,82,80,55,91,Kirk Cousins,"Josh Jacobs, Alexander Mattison, Rhamondre Stevenson, Kyren Williams, Zach Charbonnet","Rome Odunze, Xavier Worthy, Malik Nabers, CeeDee Lamb, Romeo Doubs, Josh Downs",Kyle Pitts,Chris Boswell,Minnesota Vikings,133.34,102.24,144.98,154.08,123.79,98.85,6,6.6,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
723213691029368832,jay88,Run-CMC - Walk This Jay,5,7,0,695,765,120.6,UP,11.4,69,76,80,19,0,"Tua Tagovailoa, C.J. Stroud","Christian McCaffrey, Tony Pollard, Jerome Ford, Jordan Mason, Tank Bigsby, Tyjae Spears","Bub Means, Tyreek Hill, Drake London, Jameson Williams, Jaxon Smith-Njigba",Evan Engram,Brandon McManus,"Cleveland Browns, Los Angeles Chargers",73.86,110.25,123.3,139.05,134.04,114.63,9,7.7,"Wer die meisten Punkte macht und die meisten Wins hat, darf sich selber auch auf Platz 1 der Power Rankings stellen. Wuerde ich sagen, wenn ich entscheiden würde wer auf Platz eins landet. Habe ich das Modell so angelegt dass ich gut dastehe? Ja. Aber eigentlich wollte ich mich in noch besseres Licht ruecken. Leider war mir das vergoennt, da mir die Hackerfaehigkeiten gefehlt haben und ich an manche Daten nicht gekommen bin. Jetzt aber mal ganz im Ernst, das Team ist stabil und macht bis auf eine Ausnahme in Woche 3 richtig viele Punkte. Der Draft lief gut, die Trades liefen noch besser. Mehr jinxen kann man sich eigentlich nicht, naja egal."
